City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,barashevo,54.5325,42.8792,265.38,98,99,1.36,RU,1675541997
324,ahipara,-35.1667,173.1667,292.9,89,100,3.35,NZ,1675541928
325,ponta delgada,37.7333,-25.6667,287.55,88,20,3.6,PT,1675541853
326,tucuman,-26.8241,-65.2226,302.15,51,20,2.06,AR,1675541998
327,taltal,-25.4,-70.4833,295.62,74,14,1.6,CL,1675541998
328,sheridan,44.8333,-106.9173,280.36,45,0,1.54,US,1675541998
329,port-gentil,-0.7193,8.7815,300.13,94,20,1.54,GA,1675541811
330,qandala,11.472,49.8728,295.73,72,21,2.02,SO,1675541999
331,surat,21.1667,72.8333,295.06,28,23,3.21,IN,1675541999
332,khatanga,71.9667,102.5,234.42,100,54,2.19,RU,1675541762
333,moron,-34.6534,-58.6198,302.58,32,0,3.56,AR,1675541854
334,farmersville,36.2977,-119.2068,294.31,48,0,2.57,US,1675542000
335,can tho,10.0333,105.7833,296.14,94,0,2.06,VN,1675542000
336,iracoubo,5.4802,-53.2011,298.15,88,100,6.78,GF,1675542000
337,namuac,18.6109,121.1657,294.53,89,15,5.5,PH,1675542001
338,maragogi,-9.0122,-35.2225,300.37,74,36,4.0,BR,1675542001
339,dunedin,-45.8742,170.5036,294.71,78,100,3.13,NZ,1675542001
340,zmeinogorsk,51.1567,82.195,266.8,97,100,0.41,RU,1675542002
341,cazones,20.7167,-97.3167,298.04,31,40,4.12,MX,1675542003
342,edson,53.5835,-116.4356,279.23,49,0,1.54,CA,1675542004
343,hami,42.8,93.45,272.3,36,100,1.97,CN,1675541917
344,husavik,66.0449,-17.3389,270.69,70,3,5.68,IS,1675541778
345,hvide sande,56.0045,8.1294,273.76,85,84,8.04,DK,1675542008
346,chapais,49.7834,-74.8492,251.03,91,100,4.15,CA,1675541910
347,touros,-5.1989,-35.4608,300.82,74,93,6.66,BR,1675541816
348,constitucion,-35.3333,-72.4167,293.3,74,43,3.34,CL,1675541858
349,los llanos de aridane,28.6585,-17.9182,288.01,68,75,3.6,ES,1675542011
350,dashitou,43.3067,128.5114,258.58,85,78,1.81,CN,1675542011
351,baghdad,33.3406,44.4009,283.1,62,0,4.63,IQ,1675541717
352,rawson,-43.3002,-65.1023,305.96,26,21,5.49,AR,1675541817
353,avera,33.194,-82.5271,283.92,33,9,3.19,US,1675542016
354,ingham,42.6,-84.3833,273.16,57,0,3.6,US,1675541917
355,severo-yeniseyskiy,60.3725,93.0408,261.17,97,100,1.65,RU,1675542019
356,butembo,0.15,29.2833,289.4,52,80,1.55,CD,1675542021
357,kendari,-3.945,122.4989,297.22,91,100,0.93,ID,1675542024
358,khilok,51.3674,110.4676,251.53,99,99,1.5,RU,1675542024
359,hasaki,35.7333,140.8333,275.49,56,2,7.69,JP,1675541891
360,manjeshwar,12.7194,74.8861,298.68,78,0,1.49,IN,1675542026
361,dawlatabad,36.4141,64.9053,280.34,86,100,3.09,AF,1675542027
362,nome,64.5011,-165.4064,261.19,85,100,3.6,US,1675541586
363,kungurtug,50.5994,97.5228,254.72,97,99,0.73,RU,1675542029
364,shizuishan,39.2333,106.7694,270.83,31,39,4.38,CN,1675542030
